Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Категория товара,Артикул,Бренд,Серия,Материал нагревательного элемента,"Параметры сети, В/А",Цвет корпуса,Старая цена,Тип водонагревателя,Форм-фактор,"Литраж, л",Способ нагрева,"Макс. мощность электрическая, Вт","Режимы мощности электрической, Вт",Подключение к стандартной розетке,Установка,Подводка,Способ крепления,Тип управления,Пульт ДУ,Количество внутренних баков,Материал внутреннего бака,Сухой ТЭН,Количество анодов,"Время нагрева на ∆t 45° при макс. мощности, мин.","Макс. давление воды, МПа","Мин. давление воды, МПа","Макс. температура нагрева воды, °С",Присоединительный размер,Ускоренный нагрев,Тип электрического нагревательного элемента,Точки водоразбора,Класс IP,УЗО,Защита от включения без воды,Режим предотвращения замерзания,Клапан предохранительный,"Диапазон регулировки температуры, °С",Термометр,Индикация включения,Индикация нагрева,Самодиагностика,Дисплей,"Расстояние между патрубками подключения, мм","Расстояние от стены до патрубков подключения, мм","Высота, мм","Глубина, мм","Ширина, мм","Вес, кг","Высота упаковки, мм","Глубина упаковки, мм","Ширина упаковки, мм","Вес упаковки, кг",Страна производитель,"Гарантия на внутренний бак, мес","Гарантия на изделие, мес",EAN,Базовая единица,Ставки налогов,Штрихкод,"Размеры (ДхШхВ), см",Изображения
THERMEX ER 200 V,111 040,RUB,39511.568999999996,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX ER 200 V с доставкой на uralenergotel.ru,THERMEX ER 200 V по низким ценам у официального дилера завода ТД УЭТ,thermex_er_200_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,TitaniumHeat Floor,ER 200 V,Водонагреватели,111 040,THERMEX,TitaniumHeat Floor,нержавеющая сталь,230/400,белый,47988,накопительный,Круглый,200,электрический,6000,2000/4000/6000,нет,вертикальная,боковая,напольный,механическое,нет,1,биостеклофарфор,нет,1,115,0.6,0.05,70,G3/4,да,трубчатый,несколько,IPX4,нет,нет,нет,да,30-70,нет,да,да,нет,нет,973,132,1216,672,560,56.7,1325,660,660,61.2,РОССИЯ,36,12,4607084199444,шт,20,4607084199444,66x66x132.5,https://shop.thermex.ru/upload/iblock/801/ee6v0xz4xmwxhjqmruro5j9g9rmpybo1.jpeg
THERMEX ER 300 V,111 041,RUB,48126.139,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX ER 300 V с доставкой на uralenergotel.ru,THERMEX ER 300 V по низким ценам у официального дилера завода ТД УЭТ,thermex_er_300_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,TitaniumHeat Floor,ER 300 V,Водонагреватели,111 041,THERMEX,TitaniumHeat Floor,нержавеющая сталь,230/400,белый,57348,накопительный,Круглый,300,электрический,6000,2000/4000/6000,нет,вертикальная,боковая,напольный,механическое,нет,1,биостеклофарфор,нет,1,170,0.6,0.05,70,G3/4,да,трубчатый,несколько,IPX4,нет,нет,нет,да,,нет,да,да,нет,нет,1453,132,1705,672,560,73.8,1805,660,660,80.1,РОССИЯ,36,12,4607084199451,шт,20,4607084199451,66x66x180.5,https://shop.thermex.ru/upload/iblock/b14/zyedvveg6gl06ds3vn3eqi60l7w2aonh.jpeg
THERMEX IRP 200 F,151 056,RUB,48481.379,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX IRP 200 F с доставкой на uralenergotel.ru,THERMEX IRP 200 F по низким ценам у официального дилера завода ТД УЭТ,thermex_irp_200_f,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Praktik Floor,IRP 200 F,Водонагреватели,151 056,THERMEX,Praktik Floor,нержавеющая сталь,230/400,белый,63468,накопительный,Круглый,200,электрический,6000,2000/4000/6000,нет,вертикальная,боковая,напольный,механическое,нет,1,нержавеющая сталь,нет,1,100,0.6,0.05,75,G3/4,да,трубчатый,несколько,IPX4,нет,нет,нет,да,30-70,нет,да,да,нет,нет,973,132,1216,672,560,42.4,1325,660,660,46.9,РОССИЯ,84,12,4670007713249,шт,20,4670007713249,66x66x132.5,https://shop.thermex.ru/upload/iblock/9fe/wdxpjmiqiu1ync2ub8oei13t0uxt2pml.png
THERMEX IRP 280 F,151 057,RUB,57451.189,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX IRP 280 F с доставкой на uralenergotel.ru,THERMEX IRP 280 F по низким ценам у официального дилера завода ТД УЭТ,thermex_irp_280_f,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Praktik Floor,IRP 280 F,Водонагреватели,151 057,THERMEX,Praktik Floor,нержавеющая сталь,230/400,белый,73308,накопительный,Круглый,280,электрический,6000,2000/4000/6000,нет,вертикальная,боковая,напольный,механическое,нет,1,нержавеющая сталь,нет,1,140,0.6,0.1,75,G3/4,да,трубчатый,несколько,IPX4,нет,нет,нет,да,,нет,да,да,нет,нет,1350,132,1593,672,560,55.7,1705,660,660,62,РОССИЯ,84,12,4670007713256,шт,20,4670007713256,66x66x170.5,https://shop.thermex.ru/upload/iblock/4de/4pu20m3n0052n4girfsfqlobb93wqvjn.png
THERMEX IR 200 V,151 054,RUB,50435.199,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX IR 200 V с доставкой на uralenergotel.ru,THERMEX IR 200 V по низким ценам у официального дилера завода ТД УЭТ,thermex_ir_200_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Round Plus Floor,IR 200 V,Водонагреватели,151 054,THERMEX,Round Plus Floor,медь,230/400,белый,63588,накопительный,Круглый,200,электрический,6000,2000/4000/6000,нет,вертикальная,боковая,напольный,электронное,нет,1,нержавеющая сталь,нет,,99,0.7,0.05,75,G3/4,да,трубчатый,несколько,IPX4,нет,да,нет,да,,нет,да,да,нет,да,680,210,1185,530,530,37,1210,625,610,42,Китай,84,12,4607084197808,шт,20,4607084197808,62.5x61x121,https://shop.thermex.ru/upload/iblock/31a/3ykv5688cawtkak0efp8qnig2oqddped.png
THERMEX IR 300 V,151 055,RUB,64822.419,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX IR 300 V с доставкой на uralenergotel.ru,THERMEX IR 300 V по низким ценам у официального дилера завода ТД УЭТ,thermex_ir_300_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Round Plus Floor,IR 300 V,Водонагреватели,151 055,THERMEX,Round Plus Floor,медь,230/400,белый,82548,накопительный,Круглый,300,электрический,6000,2000/4000/6000,нет,вертикальная,боковая,напольный,электронное,нет,1,нержавеющая сталь,нет,,149,0.7,0.05,75,G3/4,да,трубчатый,несколько,IPX4,нет,да,нет,да,,нет,да,да,нет,да,680,227,1215,630,630,47,1250,725,715,51.7,Китай,84,12,4607084197860,шт,20,4607084197860,72.5x71.5x125,https://shop.thermex.ru/upload/iblock/f88/3op3jg4xvwytforz7svwor7t6wpke3ef.png
THERMEX IR 150 V,151 122,RUB,47770.899,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX IR 150 V с доставкой на uralenergotel.ru,THERMEX IR 150 V по низким ценам у официального дилера завода ТД УЭТ,thermex_ir_150_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Round Plus Floor,IR 150 V,Водонагреватели,151 122,THERMEX,Round Plus Floor,медь,230/400,белый,44268,накопительный,Круглый,150,электрический,6000,2000/4000/6000,нет,вертикальная,боковая,напольный,электронное,,1,нержавеющая сталь,,,75,0.7,0.05,,,,,несколько,,,да,,,,,,,,,,,940,530,530,30.5,980,615,615,35.5,Китай,84,12,4670007712563,шт,20,4670007712563,61.5x61.5x98,https://shop.thermex.ru/upload/iblock/205/n1fr5nl62od4mlik1ncjfe498f4uzws6.png
THERMEX IRP 300 F,151 237,RUB,61003.589,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX IRP 300 F с доставкой на uralenergotel.ru,THERMEX IRP 300 F по низким ценам у официального дилера завода ТД УЭТ,thermex_irp_300_f,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Praktik Floor,IRP 300 F,Водонагреватели,151 237,THERMEX,Praktik Floor,TitaniumHeat,230/400,белый,,накопительный,Круглый,300,электрический,6000,2000/4000/6000,,вертикальная,боковая,напольный,механическое,,1,нержавеющая сталь,,1,170,0.6,0.05,70,G3/4,да,трубчатый,несколько,IPX4,,,,да,30-70,,да,да,,,,1453,1705,672,560,59.5,1805,660,660,65.8,РОССИЯ,84,12,4670033316728,шт,20,4670033316728,66x66x180.5,https://shop.thermex.ru/upload/iblock/454/fgv73ctbzqpiq95idasclhw0xg65u8om.png
THERMEX Kelpie 150 F,151 238,RUB,43241.589,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Kelpie 150 F с доставкой на uralenergotel.ru,THERMEX Kelpie 150 F по низким ценам у официального дилера завода ТД УЭТ,thermex_kelpie_150_f,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Kelpie,Kelpie 150 F,Водонагреватели,151 238,THERMEX,Kelpie,медь,230/400,серый,,накопительный,Круглый,150,электрический,6000,2000/4000/6000,,вертикальная,боковая,напольный,механическое,,1,нержавеющая сталь,,1,74,0.7,0.05,75,G3/4,да,трубчатый,несколько,IPX4,,,,да,30-75,да,да,да,,,500,,1085,584,520,26,1105,595,595,30.5,КИТАЙ,120,12,4670033316827,шт,20,4670033316827,59.5x59.5x110.5,https://shop.thermex.ru/upload/iblock/695/g29lm01qw6r75r08x8bhd3vs48eic369.png
THERMEX Kelpie 200 F,151 239,RUB,46971.609,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Kelpie 200 F с доставкой на uralenergotel.ru,THERMEX Kelpie 200 F по низким ценам у официального дилера завода ТД УЭТ,thermex_kelpie_200_f,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Kelpie,Kelpie 200 F,Водонагреватели,151 239,THERMEX,Kelpie,медь,230/400,серый,,накопительный,Круглый,200,электрический,6000,2000/4000/6000,,вертикальная,боковая,напольный,механическое,,1,нержавеющая сталь,,1,97,0.7,0.05,75,G3/4,да,трубчатый,несколько,IPX4,,,,да,30-75,да,да,да,,,780,,1361,584,520,34.1,1385,595,595,39.1,КИТАЙ,120,12,4670033316841,шт,20,4670033316841,59.5x59.5x138.5,https://shop.thermex.ru/upload/iblock/d82/iro6732znmiye5b2jaqxxm82gjiky2p6.png
