Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Категория товара,Артикул,Модель,Бренд,Серия,"Производительность, л/мин","Параметры сети, В/А",Цвет корпуса,"Мощность прибора, кВт",Старая цена,Тип дымоудаления,Тип камеры сгорания,Наличие модуляции пламени,Способ крепления,Количество форсунок,"Макс. давление воды на входе, МПа","Мин. давление воды на входе, МПа",Присоединительный размер,Класс IP,Дисплей,"Высота, мм","Глубина, мм","Ширина, мм","Вес, кг","Высота упаковки, мм","Глубина упаковки, мм","Ширина упаковки, мм","Вес упаковки, кг",Страна производитель,"Гарантия на изделие, мес",Базовая единица,Ставки налогов,"Размеры (ДхШхВ), см",Изображения
THERMEX G 20 D Silver,351 101,RUB,9937.839,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX G 20 D Silver с доставкой на uralenergotel.ru,THERMEX G 20 D Silver по низким ценам у официального дилера завода ТД УЭТ,thermex_g_20_d_silver,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Grand,G 20 D Silver,Газовые колонки,351 101,G 20 D Silver,THERMEX,Grand,10,от батареек 3В=,Серебристый,20,11590,естественная тяга,открытая,нет,настенный,13,0.75,0.025,G1\2,IPX1,да,610,185,350,8.7,710,410,245,10,Китай,24,шт,20,41x24.5x71,https://shop.thermex.ru/upload/iblock/6ff/88j6eskbmg4hdwgxjyq9lu9w4ksmbi0y.png
THERMEX G 20 D Pearl white,351 102,RUB,10914.749,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX G 20 D Pearl white с доставкой на uralenergotel.ru,THERMEX G 20 D Pearl white по низким ценам у официального дилера завода ТД УЭТ,thermex_g_20_d_pearl_white,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Grand,G 20 D Pearl white,Газовые колонки,351 102,G 20 D Pearl white,THERMEX,Grand,10,от батареек 3В=,Белый,20,10590,естественная тяга,открытая,нет,настенный,13,0.75,0.025,G1\2,IPX1,да,610,185,350,8.7,710,410,245,10,Китай,24,шт,20,41x24.5x71,https://shop.thermex.ru/upload/iblock/2d4/dwpabva8xrk5p9flp510locbtorjjnvk.png
THERMEX G 20 D Golden brown,351 103,RUB,9937.839,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX G 20 D Golden brown с доставкой на uralenergotel.ru,THERMEX G 20 D Golden brown по низким ценам у официального дилера завода ТД УЭТ,thermex_g_20_d_golden_brown,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Grand,G 20 D Golden brown,Газовые колонки,351 103,G 20 D Golden brown,THERMEX,Grand,10,от батареек 3В=,Золотой,20,13090,естественная тяга,открытая,нет,настенный,13,0.75,0.025,G1\2,IPX1,да,610,185,350,8.7,710,410,245,10,Китай,24,шт,20,41x24.5x71,https://shop.thermex.ru/upload/iblock/b01/xu44sbi35v6pdb9i7d9ndqvqyec1k77m.png
THERMEX G 28 D Pearl white,351 105,RUB,14911.199,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX G 28 D Pearl white с доставкой на uralenergotel.ru,THERMEX G 28 D Pearl white по низким ценам у официального дилера завода ТД УЭТ,thermex_g_28_d_pearl_white,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Grand,G 28 D Pearl white,Газовые колонки,351 105,G 28 D Pearl white,THERMEX,Grand,14,от батареек 3В=,Белый,28,14690,естественная тяга,открытая,нет,настенный,15,0.8,0.025,1/2,IPX1,да,650,185,400,11,755,250,455,13,Китай,24,шт,20,25x45.5x75.5,https://shop.thermex.ru/upload/iblock/d6b/3jpq9by1txu1u73cljue2tpix9nsy53l.png
EDISSON H 20 D,361 201,RUB,8516.879,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,EDISSON H 20 D с доставкой на uralenergotel.ru,EDISSON H 20 D по низким ценам у официального дилера завода ТД УЭТ,edisson_h_20_d,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Heat,EDISSON H 20 D,Газовые колонки,361 201,H 20 D,EDISSON,Heat,10,от батареек 3В=,Белый,20,8890,естественная тяга,открытая,нет,настенный,14,0.8,0.025,1/2,IPX1,да,590,140,340,7.6,705,200,395,8.95,Китай,24,шт,20,20x39.5x70.5,https://shop.thermex.ru/upload/iblock/bbf/sac63zsypr63onvipgrlifu2rs20v16m.png
EDISSON F 20 D (silver),361 102,RUB,10293.079,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,EDISSON F 20 D (silver) с доставкой на uralenergotel.ru,EDISSON F 20 D (silver) по низким ценам у официального дилера завода ТД УЭТ,edisson_f_20_d_silver,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Flame,EDISSON F 20 D (silver),Газовые колонки,361 102,F 20 D (silver),EDISSON,Flame,10,от батареек 3В=,Серебристый,20,11990,естественная тяга,открытая,нет,настенный,13,0.8,0.025,1/2,IPX1,да,610,188,350,9.1,710,245,410,10.3,Китай,24,шт,20,24.5x41x71,https://shop.thermex.ru/upload/iblock/f1b/hro8gh0qam8rkaglj54gxp8me20h6hhf.png
EDISSON H 20 DL,361 202,RUB,8516.879,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,EDISSON H 20 DL с доставкой на uralenergotel.ru,EDISSON H 20 DL по низким ценам у официального дилера завода ТД УЭТ,edisson_h_20_dl,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Heat,EDISSON H 20 DL,,361 202,H 20 DL,EDISSON,Heat,10,от батареек 3В=,Белый,20,9090,естественная тяга,открытая,нет,настенный,14,0.8,0.025,1/2,IPX1,да,590,140,340,7.6,705,200,395,8.95,Китай,24,шт,20,20x39.5x70.5,https://shop.thermex.ru/upload/iblock/bbf/sac63zsypr63onvipgrlifu2rs20v16m.png
EDISSON F 20 D,361 101,RUB,10293.079,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,EDISSON F 20 D с доставкой на uralenergotel.ru,EDISSON F 20 D по низким ценам у официального дилера завода ТД УЭТ,edisson_f_20_d,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Flame,EDISSON F 20 D,Газовые колонки,361 101,F 20 D,EDISSON,Flame,10,от батареек 3В=,Белый,20,10390,естественная тяга,открытая,нет,настенный,13,0.8,0.025,1/2,IPX1,да,610,188,350,9.1,710,245,410,10.3,Китай,24,шт,20,24.5x41x71,https://shop.thermex.ru/upload/iblock/b32/ahp7v3k0nf0a3ua9b7g5lx2facglvqfj.png
EDISSON F 20 GD (Костер),361 103,RUB,9671.409,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,EDISSON F 20 GD (Костер) с доставкой на uralenergotel.ru,EDISSON F 20 GD (Костер) по низким ценам у официального дилера завода ТД УЭТ,edisson_f_20_gd_костер,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Flame,EDISSON F 20 GD (Костер),Газовые колонки,361 103,F 20 GD (Костер),EDISSON,Flame,10,от батареек 3В=,Белый,20,12890,естественная тяга,открытая,нет,настенный,13,0.8,0.025,1/2,IPX1,да,610,188,350,11.5,710,245,410,12.7,Китай,24,шт,20,24.5x41x71,https://shop.thermex.ru/upload/iblock/4eb/qdgxv0ryaqmdi5g5p1hsbwmvr3tymgq8.png
EDISSON S 20,361 401,RUB,7451.159000000001,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,EDISSON S 20 с доставкой на uralenergotel.ru,EDISSON S 20 по низким ценам у официального дилера завода ТД УЭТ,edisson_s_20,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Spark,EDISSON S 20,Газовые колонки,361 401,S 20,EDISSON,Spark,10,от батареек 3В=,Белый,20,8990,естественная тяга,открытая,нет,настенный,13,0.8,0.025,1/2,IPX1,,550,188,330,8.2,635,245,395,9.4,Китай,24,шт,20,24.5x39.5x63.5,https://shop.thermex.ru/upload/iblock/c09/y2cn0mzr8xpv71m76mmckmmxkdklqgnj.png
