Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Категория товара,Артикул,Бренд,Серия,Материал нагревательного элемента,Подключение бесплатно,"Параметры сети, В/А",Лучшая цена,Цвет корпуса,Старая цена,Тип водонагревателя,Форм-фактор,"Литраж, л",Способ нагрева,"Макс. мощность электрическая, Вт","Режимы мощности электрической, Вт",Подключение к стандартной розетке,Установка,Подводка,Способ крепления,Тип управления,Пульт ДУ,Количество внутренних баков,Материал внутреннего бака,Сухой ТЭН,Количество анодов,Количество нагревательных элементов,"Время нагрева на ∆t 45° при макс. мощности, мин.","Постоянные суточные потери, кВт⋅ч/сут","Фактическое годовое потребление эл. энергии, кВт⋅ч","Макс. давление воды, МПа","Мин. давление воды, МПа","Макс. температура нагрева воды, °С",Присоединительный размер,Ускоренный нагрев,Тип электрического нагревательного элемента,Точки водоразбора,Класс IP,УЗО,Защита от включения без воды,Режим предотвращения замерзания,Клапан предохранительный,Термометр,Индикация включения,Индикация нагрева,Самодиагностика,Дисплей,"Расстояние между патрубками подключения, мм","Расстояние от стены до патрубков подключения, мм","Расстояние от крепежных отверстий до патрубков, мм","Расстояние между крепежными отверстиями, max. мм","Расстояние между крепежными отверстиями, min. мм","Расстояние между крепежными планками, мм","Высота, мм","Глубина, мм","Ширина, мм","Вес, кг","Высота упаковки, мм","Глубина упаковки, мм","Ширина упаковки, мм","Вес упаковки, кг",Страна производитель,"Гарантия на внутренний бак, мес","Гарантия на изделие, мес",EAN,Базовая единица,Ставки налогов,Штрихкод,"Размеры (ДхШхВ), см",Изображения
THERMEX Fusion 30 V,151 062,RUB,9316.169,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Fusion 30 V с доставкой на uralenergotel.ru,THERMEX Fusion 30 V по низким ценам у официального дилера завода ТД УЭТ,thermex_fusion_30_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Fusion,Fusion 30 V,Водонагреватели,151 062,THERMEX,Fusion,нержавеющая сталь,нет,230,да,белый,12588,накопительный,Круглый,30,электрический,2000,2000,да,вертикальная,нижняя,настенный,механическое,нет,1,нержавеющая сталь,нет,1,1,28,0.9,336.2,0.7,0.05,75,G1/2,нет,трубчатый,несколько,IPX4,нет,нет,нет,да,нет,да,да,нет,нет,100,95,384,215,190,180,518,360,340,8.6,593,385,390,9.9,Китай,84,12,4670007716608,шт,20,4670007716608,38.5x39x59.3,https://shop.thermex.ru/upload/iblock/789/eagiet2u277dsfxp83l38o1r00l6v8q8.png
THERMEX Fusion 50 V,151 063,RUB,10648.319,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Fusion 50 V с доставкой на uralenergotel.ru,THERMEX Fusion 50 V по низким ценам у официального дилера завода ТД УЭТ,thermex_fusion_50_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Fusion,Fusion 50 V,Водонагреватели,151 063,THERMEX,Fusion,нержавеющая сталь,нет,230,да,белый,13428,накопительный,Круглый,50,электрический,2000,2000,да,вертикальная,нижняя,настенный,механическое,нет,1,нержавеющая сталь,нет,1,1,59,1.1,401.5,0.7,0.05,75,G1/2,нет,трубчатый,несколько,IPX4,нет,нет,нет,да,нет,да,да,нет,нет,100,95,563,240,190,305,748,360,340,11.1,825,390,385,12.7,Китай,84,12,4670007716615,шт,20,4670007716615,39x38.5x82.5,https://shop.thermex.ru/upload/iblock/789/eagiet2u277dsfxp83l38o1r00l6v8q8.png
THERMEX Fusion 80 V,151 064,RUB,12868.569,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Fusion 80 V с доставкой на uralenergotel.ru,THERMEX Fusion 80 V по низким ценам у официального дилера завода ТД УЭТ,thermex_fusion_80_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Fusion,Fusion 80 V,Водонагреватели,151 064,THERMEX,Fusion,нержавеющая сталь,нет,230,да,белый,17388,накопительный,Круглый,80,электрический,2000,2000,да,вертикальная,нижняя,настенный,механическое,нет,1,нержавеющая сталь,нет,1,1,99,1.2,406.2,0.7,0.05,75,G1/2,нет,трубчатый,несколько,IPX4,нет,нет,нет,да,нет,да,да,нет,нет,100,135,626,240,190,400,781,430,410,14.6,862,465,460,16.9,Китай,84,12,4670007716622,шт,20,4670007716622,46.5x46x86.2,https://shop.thermex.ru/upload/iblock/789/eagiet2u277dsfxp83l38o1r00l6v8q8.png
THERMEX Fusion 100 V,151 065,RUB,15621.679,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Fusion 100 V с доставкой на uralenergotel.ru,THERMEX Fusion 100 V по низким ценам у официального дилера завода ТД УЭТ,thermex_fusion_100_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Fusion,Fusion 100 V,Водонагреватели,151 065,THERMEX,Fusion,нержавеющая сталь,нет,230,да,белый,19668,накопительный,Круглый,100,электрический,2000,2000,да,вертикальная,нижняя,настенный,механическое,нет,1,нержавеющая сталь,нет,1,1,125,1.5,554.8,0.7,0.05,75,G1/2,,трубчатый,несколько,IPX4,нет,нет,нет,да,нет,да,да,нет,нет,100,135,703,240,190,400,930,430,410,16.7,1005,465,460,19.5,Китай,84,12,4670007716639,шт,20,4670007716639,46.5x46x100.5,https://shop.thermex.ru/upload/iblock/789/eagiet2u277dsfxp83l38o1r00l6v8q8.png
THERMEX Solo 30 V,151 076,RUB,11625.229,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Solo 30 V с доставкой на uralenergotel.ru,THERMEX Solo 30 V по низким ценам у официального дилера завода ТД УЭТ,thermex_solo_30_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Solo,Solo 30 V,Водонагреватели,151 076,THERMEX,Solo,нержавеющая сталь,нет,230,,белый,14628,накопительный,Круглый,30,электрический,2000,2000,да,вертикальная,нижняя,настенный,механическое,нет,1,нержавеющая сталь,нет,1,1,28,0.9,336.2,0.7,0.05,75,G1/2,нет,трубчатый,несколько,IPX4,да,нет,нет,да,да,да,да,нет,да,100,95,384,215,190,180,518,360,340,8.3,593,390,385,9.9,Китай,84,12,4670007716677,шт,20,4670007716677,39x38.5x59.3,https://shop.thermex.ru/upload/iblock/408/51oq6yoheivs6c3kozof813ruzxioent.png
THERMEX Solo 50 V,151 077,RUB,12779.759,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Solo 50 V с доставкой на uralenergotel.ru,THERMEX Solo 50 V по низким ценам у официального дилера завода ТД УЭТ,thermex_solo_50_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Solo,Solo 50 V,Водонагреватели,151 077,THERMEX,Solo,нержавеющая сталь,нет,230,,белый,17268,накопительный,Круглый,50,электрический,2000,2000,да,вертикальная,нижняя,настенный,механическое,нет,1,нержавеющая сталь,нет,1,1,59,1.1,401.5,0.7,0.05,75,G1/2,,трубчатый,несколько,IPX4,да,нет,нет,да,да,да,да,нет,да,100,95,563,215,190,305,748,360,340,11.1,825,390,385,12.7,Китай,84,12,4670007716684,шт,20,4670007716684,39x38.5x82.5,https://shop.thermex.ru/upload/iblock/afe/7y98hxt3nr9udqm7m1hw7j8wvakltasn.png
THERMEX Solo 80 V,151 078,RUB,15799.298999999999,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Solo 80 V с доставкой на uralenergotel.ru,THERMEX Solo 80 V по низким ценам у официального дилера завода ТД УЭТ,thermex_solo_80_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Solo,Solo 80 V,Водонагреватели,151 078,THERMEX,Solo,нержавеющая сталь,нет,230,,белый,21828,накопительный,Круглый,80,электрический,2000,2000,да,вертикальная,нижняя,настенный,механическое,нет,1,нержавеющая сталь,нет,1,,99,1.2,406.2,0.7,0.05,75,G1/2,,трубчатый,несколько,IPX4,да,нет,нет,да,да,да,да,нет,да,100,135,626,215,190,400,781,430,410,14.6,862,460,465,16.9,Китай,84,12,4670007716691,шт,20,4670007716691,46x46.5x86.2,https://shop.thermex.ru/upload/iblock/a10/cawn920vl5fwf2mfb2ou3ieo1vv6asth.png
THERMEX Solo 100 V,151 079,RUB,17664.309,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Solo 100 V с доставкой на uralenergotel.ru,THERMEX Solo 100 V по низким ценам у официального дилера завода ТД УЭТ,thermex_solo_100_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Solo,Solo 100 V,Водонагреватели,151 079,THERMEX,Solo,нержавеющая сталь,нет,230,,белый,24108,накопительный,Круглый,100,электрический,2000,2000,да,вертикальная,нижняя,настенный,механическое,нет,1,нержавеющая сталь,нет,1,,125,1.5,554.8,0.7,0.05,75,G1/2,нет,трубчатый,несколько,IPX4,да,нет,нет,да,да,да,да,нет,да,100,135,703,215,190,400,930,430,410,16.7,1005,465,460,19.5,Китай,84,12,4670007716707,шт,20,4670007716707,46.5x46x100.5,https://shop.thermex.ru/upload/iblock/d8f/jebyr6o84pduxxni1ql2vkqgm3a343da.png
THERMEX Nova 50 V Slim,111 019,RUB,10648.319,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Nova 50 V Slim с доставкой на uralenergotel.ru,THERMEX Nova 50 V Slim по низким ценам у официального дилера завода ТД УЭТ,thermex_nova_50_v_slim,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Nova,Nova 50 V Slim,Водонагреватели,111 019,THERMEX,Nova,EcoDryHeat,нет,230,,белый,13788,накопительный,Круглый,50,электрический,2000,2000,да,вертикальная,нижняя,настенный,механическое,нет,1,биостеклофарфор,да,1,,80,,,0.6,0.05,75,G1/2,нет,трубчатый,несколько,IPX4,да,нет,нет,да,да,да,да,нет,нет,100,84,522,236,,362,722,378,365,16.8,775,400,400,18.2,Россия,60,12,4670007715205,шт,20,4670007715205,40x40x77.5,https://shop.thermex.ru/upload/iblock/c76/ek8qpiiqzcj9rfwdvlbpniksnlrtgdfc.png
THERMEX Nova 50 V,111 022,RUB,10293.079,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX Nova 50 V с доставкой на uralenergotel.ru,THERMEX Nova 50 V по низким ценам у официального дилера завода ТД УЭТ,thermex_nova_50_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Nova,Nova 50 V,Водонагреватели,111 022,THERMEX,Nova,EcoDryHeat,нет,230,,белый,13188,накопительный,Круглый,50,электрический,2000,2000,да,вертикальная,нижняя,настенный,механическое,нет,1,биостеклофарфор,да,1,,80,,,0.6,0.05,75,G1/2,нет,трубчатый,несколько,IPX4,да,нет,нет,да,да,да,да,нет,нет,100,125,349,236,,177,527,459,445,16.5,585,490,470,18,Россия,60,12,4670007715151,шт,20,4670007715151,49x47x58.5,https://shop.thermex.ru/upload/iblock/956/n39mhls2o9q19wy45bhktf69dlt6icpr.png
