Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Категория товара,Артикул,Бренд,Серия,Материал нагревательного элемента,Подключение бесплатно,"Параметры сети, В/А",Цвет корпуса,Старая цена,Тип водонагревателя,Форм-фактор,"Литраж, л",Способ нагрева,"Макс. мощность электрическая, Вт","Режимы мощности электрической, Вт",Подключение к стандартной розетке,Установка,Подводка,Способ крепления,Тип управления,Пульт ДУ,Количество внутренних баков,Материал внутреннего бака,Сухой ТЭН,Количество анодов,Количество нагревательных элементов,"Время нагрева на ∆t 45° при макс. мощности, мин.","Постоянные суточные потери, кВт⋅ч/сут","Фактическое годовое потребление эл. энергии, кВт⋅ч","Макс. давление воды, МПа","Мин. давление воды, МПа","Макс. температура нагрева воды, °С",Присоединительный размер,Ускоренный нагрев,Тип электрического нагревательного элемента,Точки водоразбора,Класс IP,Защита от включения без воды,Режим предотвращения замерзания,Клапан предохранительный,"Диапазон регулировки температуры, °С",Термометр,Индикация включения,Индикация нагрева,Самодиагностика,Дисплей,"Расстояние между патрубками подключения, мм","Расстояние от стены до патрубков подключения, мм","Расстояние от крепежных отверстий до патрубков, мм","Расстояние между крепежными отверстиями, max. мм","Высота, мм","Глубина, мм","Ширина, мм","Вес, кг","Высота упаковки, мм","Глубина упаковки, мм","Ширина упаковки, мм","Вес упаковки, кг",Страна производитель,"Гарантия на внутренний бак, мес","Гарантия на изделие, мес",EAN,Базовая единица,Ставки налогов,Штрихкод,"Размеры (ДхШхВ), см",Изображения
THERMEX H 15 O (pro),111 003,RUB,6829.4890000000005,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX H 15 O (pro) с доставкой на uralenergotel.ru,THERMEX H 15 O (pro) по низким ценам у официального дилера завода ТД УЭТ,thermex_h_15_o_pro,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Hit Pro,H 15 O (pro),Водонагреватели,111 003,THERMEX,Hit Pro,нержавеющая сталь,нет,230,белый,8868,накопительный,Мини,15,электрический,1500,1500,да,вертикальная,нижняя,настенный,механическое,нет,1,биостеклофарфор,нет,1,1,30,0.56,204,0.8,0.05,75,G1/2,нет,трубчатый,несколько,IPX4,нет,нет,да,до 75,нет,да,да,нет,нет,100,100,294,65,410,340,380,8.5,440,365,427,9.5,Китай,36,12,4670007714703,шт,20,4670007714703,36.5x42.7x44,https://shop.thermex.ru/upload/iblock/0b3/j3jafxswbu9nsxfi34m8y92lnmg0f35l.png
THERMEX H 15 U (pro),111 004,RUB,6829.4890000000005,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX H 15 U (pro) с доставкой на uralenergotel.ru,THERMEX H 15 U (pro) по низким ценам у официального дилера завода ТД УЭТ,thermex_h_15_u_pro,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Hit Pro,H 15 U (pro),Водонагреватели,111 004,THERMEX,Hit Pro,нержавеющая сталь,нет,230,белый,8868,накопительный,Мини,15,электрический,1500,1500,да,вертикальная,верхняя,настенный,механическое,нет,1,биостеклофарфор,нет,1,1,30,0.67,245,0.8,0.05,75,G1/2,нет,трубчатый,несколько,IPX4,нет,нет,да,,нет,да,да,нет,нет,100,100,294,65,410,340,380,8.5,440,365,427,9.5,Китай,36,12,4670007714710,шт,20,4670007714710,36.5x42.7x44,https://shop.thermex.ru/upload/iblock/93d/zq04zyx4mikoziol0k9ph6nq8m2g1vzb.png
THERMEX H 30 O (pro),111 005,RUB,8605.689,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX H 30 O (pro) с доставкой на uralenergotel.ru,THERMEX H 30 O (pro) по низким ценам у официального дилера завода ТД УЭТ,thermex_h_30_o_pro,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Hit Pro,H 30 O (pro),Водонагреватели,111 005,THERMEX,Hit Pro,нержавеющая сталь,нет,230,белый,10908,накопительный,Мини,30,электрический,1500,1500,да,вертикальная,нижняя,настенный,механическое,нет,1,биостеклофарфор,нет,1,1,65,0.98,358,0.8,0.05,75,G1/2,нет,трубчатый,несколько,IPX4,нет,нет,да,,нет,да,да,нет,нет,100,120,343,65,480,410,450,12.5,510,438,497,13.8,Китай,36,12,4670007714727,шт,20,4670007714727,43.8x49.7x51,https://shop.thermex.ru/upload/iblock/162/mzcfrb4htw7ru623qoe6h1i9ibzegw97.png
THERMEX H 10 O (pro),111 001,RUB,5497.339,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX H 10 O (pro) с доставкой на uralenergotel.ru,THERMEX H 10 O (pro) по низким ценам у официального дилера завода ТД УЭТ,thermex_h_10_o_pro,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Hit Pro,H 10 O (pro),Водонагреватели,111 001,THERMEX,Hit Pro,нержавеющая сталь,нет,230,белый,7548,накопительный,Мини,10,электрический,1500,1500,да,вертикальная,нижняя,настенный,механическое,нет,1,биостеклофарфор,нет,1,1,20,0.51,186,0.8,0.05,75,G1/2,нет,трубчатый,несколько,IPX4,нет,нет,да,,нет,да,да,нет,нет,100,100,276,65,370,300,340,7.5,400,334,387,8.3,Китай,36,12,4670007714680,шт,20,4670007714680,33.4x38.7x40,https://shop.thermex.ru/upload/iblock/bcf/pghdjkbp3ohqmqoppwdov3ccpj3376hg.png
THERMEX H 10 U (pro),111 002,RUB,5497.339,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX H 10 U (pro) с доставкой на uralenergotel.ru,THERMEX H 10 U (pro) по низким ценам у официального дилера завода ТД УЭТ,thermex_h_10_u_pro,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Hit Pro,H 10 U (pro),Водонагреватели,111 002,THERMEX,Hit Pro,нержавеющая сталь,нет,230,белый,7548,накопительный,Мини,10,электрический,1500,1500,да,вертикальная,верхняя,настенный,механическое,нет,1,биостеклофарфор,нет,1,1,20,0.6,219,0.8,0.05,75,G1/2,нет,трубчатый,несколько,IPX4,нет,нет,да,до 75,нет,да,да,нет,нет,100,100,276,65,370,300,340,7.5,400,334,387,8.3,Китай,36,12,4670007714697,шт,20,4670007714697,33.4x38.7x40,https://shop.thermex.ru/upload/iblock/376/kldhk1pvqcay9lwkttmwed0hyqrfg1pa.png
THERMEX IBL 15 O,151 034,RUB,7717.589,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX IBL 15 O с доставкой на uralenergotel.ru,THERMEX IBL 15 O по низким ценам у официального дилера завода ТД УЭТ,thermex_ibl_15_o,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Blitz,IBL 15 O,Водонагреватели,151 034,THERMEX,Blitz,медь,нет,230,черный,8190,накопительный,Мини,15,электрический,2500,1500/2500,да,вертикальная,нижняя,настенный,механическое,нет,1,нержавеющая сталь,нет,1,1,19,0.56,204,0.7,0.05,65,G1/2,да,трубчатый,несколько,IPX4,нет,нет,да,30-65,нет,да,да,нет,нет,100,75,345,160,455,320,315,6.4,515,350,375,7.8,Китай,84,12,4670007712013,шт,20,4670007712013,35x37.5x51.5,https://shop.thermex.ru/upload/iblock/aad/u1a5di3bzo1zp3inogfcwvrmvgl9o2mw.png
THERMEX H 30 U (pro),111 062,RUB,8605.689,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX H 30 U (pro) с доставкой на uralenergotel.ru,THERMEX H 30 U (pro) по низким ценам у официального дилера завода ТД УЭТ,thermex_h_30_u_pro,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Hit Pro,H 30 U (pro),Водонагреватели,111 062,THERMEX,Hit Pro,нержавеющая сталь,нет,230,белый,10908,накопительный,Мини,30,электрический,1500,1500,да,вертикальная,верхняя,настенный,механическое,нет,1,биостеклофарфор,нет,1,1,65,1.1,402,0.8,0.05,75,G1/2,нет,трубчатый,несколько,IPX4,нет,нет,да,,нет,да,да,нет,нет,100,120,343,65,480,410,450,12.5,510,438,497,13.8,Китай,36,12,4670007717971,шт,20,4670007717971,43.8x49.7x51,https://shop.thermex.ru/upload/iblock/16b/9i4zxfa8nk3c1v2hlfe75c0k1edlau2c.png
THERMEX N 10 O,151 095,RUB,6207.819,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX N 10 O с доставкой на uralenergotel.ru,THERMEX N 10 O по низким ценам у официального дилера завода ТД УЭТ,thermex_n_10_o,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Nobel ,N 10 O,Водонагреватели,151 095,THERMEX,Nobel ,медь,нет,230,белый,7068,накопительный,Мини,10,электрический,2000,2000,да,вертикальная,нижняя,настенный,механическое,нет,1,нержавеющая сталь,нет,1,1,16,0.56,204.4,0.7,0.05,75,G1/2,нет,трубчатый,несколько,IPX4,нет,нет,да,+18…+74°С,нет,да,да,нет,нет,100,71,295,165,398,270,260,5.6,445,305,305,6.2,РОССИЯ,84,12,4670007717674,шт,20,4670007717674,30.5x30.5x44.5,https://shop.thermex.ru/upload/iblock/d47/hwb9tx4pk6e7j618lwsm9q4v850veqp3.png
THERMEX N 15 O,151 097,RUB,7095.919,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX N 15 O с доставкой на uralenergotel.ru,THERMEX N 15 O по низким ценам у официального дилера завода ТД УЭТ,thermex_n_15_o,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Nobel ,N 15 O,Водонагреватели,151 097,THERMEX,Nobel ,медь,нет,230,белый,8148,накопительный,Мини,15,электрический,2000,2000,да,вертикальная,нижняя,настенный,механическое,нет,1,нержавеющая сталь,нет,1,1,28,0.69,251.8,0.7,0.05,75,G1/2,нет,трубчатый,несколько,IPX4,нет,нет,да,18…+74°С,нет,да,да,нет,нет,100,71,430,165,533,270,260,6.7,580,305,305,7.1,РОССИЯ,84,12,4670007717681,шт,20,4670007717681,30.5x30.5x58,https://shop.thermex.ru/upload/iblock/142/afpyxptvqsocu1b3lv2z8nl9gd4ywy71.png
THERMEX IBL 10 O,151 033,RUB,6651.869000000001,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX IBL 10 O с доставкой на uralenergotel.ru,THERMEX IBL 10 O по низким ценам у официального дилера завода ТД УЭТ,thermex_ibl_10_o,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Blitz,IBL 10 O,Водонагреватели,151 033,THERMEX,Blitz,медь,нет,230,черный,7090,накопительный,Мини,10,электрический,2500,1500/2500,да,вертикальная,нижняя,настенный,механическое,нет,1,нержавеющая сталь,нет,1,1,13,0.51,186,0.7,0.05,65,G1/2,да,трубчатый,несколько,IPX4,нет,нет,да,30-65,нет,да,да,нет,нет,100,75,310,160,428,290,290,5.6,480,320,340,6.6,Китай,84,12,4670007712006,шт,20,4670007712006,32x34x48,https://shop.thermex.ru/upload/iblock/aad/u1a5di3bzo1zp3inogfcwvrmvgl9o2mw.png
