Наименование,Артикул,Валюта,"Цена, с НДС",В наличии,Доступен для заказа,Краткая информация,Описание,Наклейка,Статус,Теги,Meta Title,Meta Description,URL,Срок изготовления,Доставка,Производитель,Серия,Код товара,Категория товара,Артикул,Бренд,Серия,Материал нагревательного элемента,Подключение бесплатно,"Параметры сети, В/А",Цвет корпуса,Старая цена,Тип водонагревателя,Форм-фактор,"Литраж, л",Способ нагрева,"Макс. мощность электрическая, Вт","Режимы мощности электрической, Вт",Подключение к стандартной розетке,Установка,Подводка,Способ крепления,Тип управления,Пульт ДУ,Количество внутренних баков,Материал внутреннего бака,Сухой ТЭН,Количество анодов,Количество нагревательных элементов,"Время нагрева на ∆t 45° при макс. мощности, мин.","Постоянные суточные потери, кВт⋅ч/сут","Фактическое годовое потребление эл. энергии, кВт⋅ч","Макс. давление воды, МПа","Мин. давление воды, МПа","Макс. температура нагрева воды, °С",Присоединительный размер,Ускоренный нагрев,Тип электрического нагревательного элемента,Точки водоразбора,Класс IP,УЗО,Защита от включения без воды,Режим предотвращения замерзания,Клапан предохранительный,"Диапазон регулировки температуры, °С",Термометр,Индикация включения,Индикация нагрева,Самодиагностика,Дисплей,"Расстояние между патрубками подключения, мм","Расстояние от стены до патрубков подключения, мм","Расстояние от крепежных отверстий до патрубков, мм","Расстояние между крепежными отверстиями, max. мм","Расстояние между крепежными планками, мм","Высота, мм","Глубина, мм","Ширина, мм","Вес, кг","Высота упаковки, мм","Глубина упаковки, мм","Ширина упаковки, мм","Вес упаковки, кг",Страна производитель,"Гарантия на внутренний бак, мес","Гарантия на изделие, мес",EAN,Базовая единица,Ставки налогов,Штрихкод,"Размеры (ДхШхВ), см",Изображения
THERMEX IF 80 H (pro),151 031,RUB,20417.419,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX IF 80 H (pro) с доставкой на uralenergotel.ru,THERMEX IF 80 H (pro) по низким ценам у официального дилера завода ТД УЭТ,thermex_if_80_h_pro,уточняйте у менеджера,Доставка со склада в Москве,Thermex,IF PRO,IF 80 H (pro),Водонагреватели,151 031,THERMEX,IF PRO,медь,нет,230,белый,25788,накопительный,Плоский,80,электрический,2000,700/1300/2000,да,горизонтальная,нижняя,настенный,электронное,нет,2,нержавеющая сталь,нет,2,1,126,1.5,548,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,да,да,да,30-75,да,да,да,да,да,100,151,460,677,677,530,288,996,16.7,576,346,1065,19.4,Китай,84,12,4670007715816,шт,20,4670007715816,34.6x106.5x57.6,https://shop.thermex.ru/upload/iblock/bbd/cz5kb1tty0dlq7g2r77sa3gikvdkdk5k.png
THERMEX MK 30 V,151 001,RUB,11092.368999999999,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX MK 30 V с доставкой на uralenergotel.ru,THERMEX MK 30 V по низким ценам у официального дилера завода ТД УЭТ,thermex_mk_30_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Mechanik,MK 30 V,Водонагреватели,151 001,THERMEX,Mechanik,медь,да,230,белый,14988,накопительный,Плоский,30,электрический,2000,800/1200/2000,да,вертикальная,нижняя,настенный,механическое,нет,2,нержавеющая сталь,нет,1,1,50,1.1,394.2,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,нет,нет,да,,нет,да,да,нет,нет,100,91,455,240,210,580,250,434,9.6,620,295,485,10.8,Китай,84,12,4670007714208,шт,20,4670007714208,29.5x48.5x62,https://shop.thermex.ru/upload/iblock/a9d/ziv4djmi0nx69w5sqs7r5c45o72atzpq.png
THERMEX MK 50 V,151 002,RUB,14200.719,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX MK 50 V с доставкой на uralenergotel.ru,THERMEX MK 50 V по низким ценам у официального дилера завода ТД УЭТ,thermex_mk_50_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Mechanik,MK 50 V,Водонагреватели,151 002,THERMEX,Mechanik,медь,нет,230,белый,18708,накопительный,Плоский,50,электрический,2000,800/1200/2000,да,вертикальная,нижняя,настенный,механическое,нет,2,нержавеющая сталь,нет,1,1,80,1.4,496.4,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,нет,нет,да,,нет,да,да,нет,нет,100,91,715,240,490,870,250,434,12.2,905,295,485,14.8,Китай,84,12,4670007714215,шт,20,4670007714215,29.5x48.5x90.5,https://shop.thermex.ru/upload/iblock/c57/tcjs3p6ay22r1mo3vlvzd16dnlshawgk.png
THERMEX MK 80 V,151 003,RUB,17575.499000000003,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX MK 80 V с доставкой на uralenergotel.ru,THERMEX MK 80 V по низким ценам у официального дилера завода ТД УЭТ,thermex_mk_80_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Mechanik,MK 80 V,Водонагреватели,151 003,THERMEX,Mechanik,медь,нет,230,белый,23388,накопительный,Плоский,80,электрический,2000,800/1200/2000,да,вертикальная,нижняя,настенный,механическое,нет,2,нержавеющая сталь,нет,1,1,130,1.6,565.8,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,нет,нет,да,,нет,да,да,нет,нет,100,105,725,210,450,984,290,514,17,1025,330,562,20.2,Китай,84,12,4670007714222,шт,20,4670007714222,33x56.2x102.5,https://shop.thermex.ru/upload/iblock/f6b/64wqiymw4xkhbydft4dimzgcoj7885ig.png
THERMEX MK 100 V,151 004,RUB,20150.989,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX MK 100 V с доставкой на uralenergotel.ru,THERMEX MK 100 V по низким ценам у официального дилера завода ТД УЭТ,thermex_mk_100_v,уточняйте у менеджера,Доставка со склада в Москве,Thermex,Mechanik,MK 100 V,Водонагреватели,151 004,THERMEX,Mechanik,медь,нет,230,белый,26868,накопительный,Плоский,100,электрический,2000,800/1200/2000,да,вертикальная,нижняя,настенный,механическое,нет,2,нержавеющая сталь,нет,1,1,160,1.8,642.4,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,нет,нет,да,,нет,да,да,нет,нет,100,105,890,240,550,1184,290,514,20.6,1220,330,562,23.3,Китай,84,12,4670007714239,шт,20,4670007714239,33x56.2x122,https://shop.thermex.ru/upload/iblock/1e6/1itgvvpwzmd836brrdrb143hsjc8rrtp.png
THERMEX IF 30 V (pro),151 022,RUB,13579.048999999999,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX IF 30 V (pro) с доставкой на uralenergotel.ru,THERMEX IF 30 V (pro) по низким ценам у официального дилера завода ТД УЭТ,thermex_if_30_v_pro,уточняйте у менеджера,Доставка со склада в Москве,Thermex,IF PRO,IF 30 V (pro),Водонагреватели,151 022,THERMEX,IF PRO,медь,нет,230,белый,18108,накопительный,Плоский,30,электрический,2000,700/1300/2000,да,вертикальная,нижняя,настенный,электронное,нет,2,нержавеющая сталь,нет,2,2,47,0.9,329,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,да,да,да,30-75,да,да,да,да,да,100,97,428,372,246,587,263,452,9.9,634,311,521,11.7,Китай,84,12,4670007715571,шт,20,4670007715571,31.1x52.1x63.4,https://shop.thermex.ru/upload/iblock/711/pky62za6aagjnjyrwftc3d4q9jq7kd11.png
THERMEX IF 50 V (pro),151 023,RUB,16420.969,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX IF 50 V (pro) с доставкой на uralenergotel.ru,THERMEX IF 50 V (pro) по низким ценам у официального дилера завода ТД УЭТ,thermex_if_50_v_pro,уточняйте у менеджера,Доставка со склада в Москве,Thermex,IF PRO,IF 50 V (pro),Водонагреватели,151 023,THERMEX,IF PRO,медь,нет,230,белый,20868,накопительный,Плоский,50,электрический,2000,700/1300/2000,да,вертикальная,нижняя,настенный,электронное,нет,2,нержавеющая сталь,нет,2,2,79,1.15,420,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,да,да,да,30-75,да,да,да,да,да,100,97,721,372,539,880,263,452,13,927,311,521,15.2,Китай,84,12,4670007715588,шт,20,4670007715588,31.1x52.1x92.7,https://shop.thermex.ru/upload/iblock/642/8oearh6swx0dh8orx91ik6puq9e1uq8c.png
THERMEX IF 80 V (pro),151 024,RUB,19884.559,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX IF 80 V (pro) с доставкой на uralenergotel.ru,THERMEX IF 80 V (pro) по низким ценам у официального дилера завода ТД УЭТ,thermex_if_80_v_pro,уточняйте у менеджера,Доставка со склада в Москве,Thermex,IF PRO,IF 80 V (pro),Водонагреватели,151 024,THERMEX,IF PRO,медь,нет,230,белый,24588,накопительный,Плоский,80,электрический,2000,700/1300/2000,да,вертикальная,нижняя,настенный,электронное,нет,2,нержавеющая сталь,нет,2,2,126,1.5,548,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,да,да,да,30-75,да,да,да,да,да,100,108,859,372,677,1018,293,510,16.7,1065,346,576,19.4,Китай,84,12,4670007715595,шт,20,4670007715595,34.6x57.6x106.5,https://shop.thermex.ru/upload/iblock/5ae/vy30ah8p3pm376jxbdsuj4kssh2o7u94.png
THERMEX IF 100 V (pro),151 025,RUB,23170.529000000002,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX IF 100 V (pro) с доставкой на uralenergotel.ru,THERMEX IF 100 V (pro) по низким ценам у официального дилера завода ТД УЭТ,thermex_if_100_v_pro,уточняйте у менеджера,Доставка со склада в Москве,Thermex,IF PRO,IF 100 V (pro),Водонагреватели,151 025,THERMEX,IF PRO,медь,нет,230,белый,27228,накопительный,Плоский,100,электрический,2000,700/1300/2000,да,вертикальная,нижняя,настенный,электронное,нет,2,нержавеющая сталь,нет,2,2,158,1.75,639,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,да,да,да,30-75,да,да,да,да,да,100,108,1081,372,899,1240,293,510,19.3,1288,346,576,22.3,Китай,84,12,4670007715601,шт,20,4670007715601,34.6x57.6x128.8,https://shop.thermex.ru/upload/iblock/e76/w3prgkbv2stebqnt0ipsz7z856ywomn8.png
THERMEX IF 50 H (pro),151 030,RUB,16865.019,0,1,,"<p>Купить name из наличия в ТД УЭТ. Доставка со склада в Екатеринбурге во все города России. Цена на name актуальна. Для заказа и уточнения дополнительных скидок отправьте запрос по e-mail: sale@uralenergotel.ru. Для постоянных клиентов предусмотрены специальные цены.&nbsp;<br><br>С полным ассортиментом вы можете ознакомиться перейдя по ссылке: Thermename. Также вы можете воспользоваться боковым меню справа и выбрать необходимые для вас характеристики, либо подобрать аналогичные товары из наличия у нас на сайте.&nbsp;<br><br>ТД УЭТ является официальным дилером компании «Thermename» в Екатеринбурге. Поставим name напрямую со склада в города России: Москва, Санкт-Петербург, Казань, Самара, Екатеринбург, Челябинск, Уфа, Тюмень, Краснодар, Новосибирск, Пермь, Сургут, Омск, Красноярск, Ростов-на-Дону, Нижний Новгород, Волгоград, Чита, Иркутск и т.д.</p>",,1,,THERMEX IF 50 H (pro) с доставкой на uralenergotel.ru,THERMEX IF 50 H (pro) по низким ценам у официального дилера завода ТД УЭТ,thermex_if_50_h_pro,уточняйте у менеджера,Доставка со склада в Москве,Thermex,IF PRO,IF 50 H (pro),Водонагреватели,151 030,THERMEX,IF PRO,медь,нет,230,белый,22068,накопительный,Плоский,50,электрический,2000,700/1300/2000,да,горизонтальная,нижняя,настенный,электронное,нет,2,нержавеющая сталь,нет,2,1,79,1.15,420,0.7,0.05,75,G1/2,да,трубчатый,несколько,IPX4,да,да,да,да,30-75,да,да,да,да,да,100,136,430,539,539,472,258,858,13,521,311,927,15.2,Китай,84,12,4670007715809,шт,20,4670007715809,31.1x92.7x52.1,https://shop.thermex.ru/upload/iblock/fbc/t4nddvqmwzyt9axcahxrjul7lk2u2qri.png
